"report-def-0-rfile"
"Iteration" "heat-transfer-rate"
("Iteration" "heat-transfer-rate")
1000 -27710.83529025082
1001 -27696.8965546437
1002 -27683.20424379537
1003 -27669.77350202414
1004 -27656.59612995229
1005 -27643.6801157966
1006 -27631.06906915163
1007 -27618.6967998892
1008 -27606.5767109524
1009 -27594.82090691374
1010 -27583.32469183005
1011 -27572.09339548039
1012 -27561.1622413674
1013 -27550.48784998342
1014 -27540.09048453106
1015 -27529.97343046718
1016 -27520.14815119701
1017 -27510.62488325412
1018 -27501.39921393869
1019 -27492.47099036506
1020 -27483.84912794564
1021 -27475.52820508632
1022 -27467.52152480302
1023 -27459.80304714309
1024 -27452.43567760466
1025 -27445.44415187865
1026 -27438.67092580653
1027 -27432.16740946567
1028 -27425.82264659841
1029 -27419.63109180045
1030 -27413.5701510885
1031 -27407.65305830536
1032 -27401.85138445351
1033 -27396.15420547499
1034 -27390.51711633015
1035 -27384.95839468113
1036 -27379.49230109848
1037 -27374.17324832606
1038 -27369.00226447625
1039 -27363.93179372842
1040 -27358.96636816583
1041 -27354.09007148124
1042 -27349.37493495564
1043 -27344.80882829503
1044 -27340.39121074945
1045 -27336.12529911128
1046 -27332.02992222977
1047 -27328.11690152987
1048 -27324.38294694827
1049 -27320.83194560773
1050 -27317.47086168597
1051 -27314.29965240863
1052 -27311.31637167921
1053 -27308.56118490775
1054 -27305.94292193066
1055 -27303.4749265982
1056 -27301.13967891485
1057 -27298.91941563585
1058 -27296.79936691163
1059 -27294.75181937354
1060 -27292.73471150909
1061 -27290.73988509597
1062 -27288.76390278092
1063 -27286.79202136204
1064 -27284.80450411941
1065 -27282.76840716204
1066 -27280.67758606917
1067 -27278.45277898796
1068 -27276.14249034078
1069 -27273.74278058679
1070 -27271.25220996391
1071 -27268.68085610271
1072 -27266.03425759211
1073 -27263.32046763698
1074 -27260.55025583274
1075 -27257.73556099578
1076 -27254.89468822064
1077 -27252.03985631546
1078 -27249.17899123644
1079 -27246.33497087852
1080 -27243.50922313871
1081 -27240.73138862773
1082 -27238.03282239691
1083 -27235.34570876431
1084 -27232.80307414957
1085 -27230.2710341026
1086 -27227.76496849405
1087 -27225.28909208794
1088 -27222.8577910685
1089 -27220.45830358976
1090 -27218.09000994372
1091 -27215.74720594726
1092 -27213.41516261486
1093 -27211.08139667811
1094 -27208.74684638254
1095 -27206.34071655307
1096 -27203.88171311102
1097 -27201.41645809884
1098 -27198.93527619222
1099 -27196.36405914633
1100 -27193.8342223545
1101 -27191.18543618668
1102 -27188.41458649409
1103 -27185.51339763389
1104 -27182.46065172193
1105 -27179.26246728506
1106 -27175.8842006022
1107 -27172.32045376026
