heat_tc	position	normalised		dT/dx	position	normalised dT/dx		Temp	y	normalised		Stanton	plotted stanton	plotted y	y	normalised
147.593	0.012	0.050445521		514.991	0.0110058	0.004315109		1513.09	4.22214E-10	0.003326397		-0.0120888	0.0120888	0.099875	-0.099875	1
148.062	0.013	0.050605819		518.783	0.0120064	0.004346882		1513.21	0.0010005	0.002739386		-0.0110372	0.0110372	0.09975	-0.09975	0.91301039
158.108	0.014	0.054039422		530.463	0.013007	0.004444749		1513.31	0.00200101	0.00225021		-0.00698138	0.00698138	0.0995	-0.0995	0.577508107
172.279	0.015	0.0588829		549.607	0.0140075	0.004605156		1513.41	0.00300152	0.001761034		-0.00474451	0.00474451	0.099	-0.099	0.392471544
200.322	0.016	0.068467662		575.723	0.0150081	0.004823982		1513.5	0.00400204	0.001320775		-0.00393071	0.00393071	0.098	-0.098	0.325153034
245.153	0.017	0.083790361		606.464	0.0160087	0.005081561		1513.58	0.00500257	0.000929434		-0.00386569	0.00386569	0.097	-0.097	0.319774502
294.096	0.018	0.100518492		637.513	0.0170093	0.005341721		1513.65	0.00600309	0.000587011		-0.00380191	0.00380191	0.096	-0.096	0.314498544
342.941	0.019	0.117213129		669.1	0.0180099	0.005606388		1513.71	0.00700363	0.000293506		-0.00373192	0.00373192	0.095	-0.095	0.308708888
391.397	0.02	0.13377481		708.861	0.0190105	0.005939546		1513.75	0.00800417	9.78352E-05		-0.00366449	0.00366449	0.094	-0.094	0.303130997
439.123	0.021	0.150086985		747.473	0.0200111	0.006263075		1513.77	0.00900471	0		-0.0036032	0.0036032	0.093	-0.093	0.298061015
485.882	0.022	0.166068652		773.676	0.0210117	0.00648263		1513.79	0.0100053	-9.78352E-05		-0.00354655	0.00354655	0.092	-0.092	0.293374859
531.576	0.023	0.181686314		796.39	0.0220124	0.006672951		1513.78	0.0110058	-4.89176E-05		-0.00349319	0.00349319	0.091	-0.091	0.288960856
576.206	0.024	0.196940314		822.924	0.023013	0.006895279		1513.74	0.0120064	0.000146753		-0.00344238	0.00344238	0.09	-0.09	0.284757792
619.794	0.025	0.21183817		857.027	0.0240136	0.007181028		1513.66	0.013007	0.000538094		-0.00339382	0.00339382	0.089	-0.089	0.280740851
662.328	0.026	0.226375782		901.999	0.0250143	0.007557849		1513.54	0.0140075	0.001125105		-0.00334733	0.00334733	0.088	-0.088	0.276895143
703.732	0.027	0.240527174		958.293	0.0260149	0.008029536		1513.41	0.0150081	0.001761034		-0.00330274	0.00330274	0.087	-0.087	0.273206604
743.997	0.028	0.254289269		1024.59	0.0270156	0.008585038		1513.28	0.0160087	0.002396963		-0.00325987	0.00325987	0.086	-0.086	0.269660347
783.172	0.029	0.267678815		1099.83	0.0280163	0.009215474		1513.14	0.0170093	0.003081809		-0.00321854	0.00321854	0.085	-0.085	0.26624148
821.282	0.03	0.280704357		1186.38	0.029017	0.009940677		1513	0.0180099	0.003766655		-0.00317862	0.00317862	0.084	-0.084	0.26293925
858.364	0.031	0.29337854		1287.15	0.0300176	0.010785028		1512.85	0.0190105	0.004500419		-0.00314	0.00314	0.083	-0.083	0.259744557
894.455	0.032	0.305714012		1402.9	0.0310183	0.011754898		1512.68	0.0200111	0.005332019		-0.00310261	0.00310261	0.082	-0.082	0.256651611
928.09	0.033	0.317210053		1534.69	0.032019	0.012859166		1512.51	0.0210117	0.006163618		-0.00306638	0.00306638	0.081	-0.081	0.253654622
960.375	0.034	0.328244679		1673.35	0.0330198	0.014020998		1512.32	0.0220124	0.007093052		-0.00303128	0.00303128	0.08	-0.08	0.250751108
