x position	heat_tr	normalised		position	dT/dy	normalised dT/dy		position	temp	normalised		x	Stanton	Plotted stanton	normalised		x	temp	normalised
-4.51E-11	1676.65	1		0.0149261	1574.68	0.006271052		-4.51E-11	1399.21	0.902721953		0	-0.009667	0.009667	1		-7.51E-12	353.491	1
0.000990232	419.974	0.250484001		0.0159276	-1239.51	-0.004936261		0.000990232	1346.83	0.868928187		0.000125004	-0.00558876	0.00558876	0.578127651		0.000115038	328.202	0.517753623
0.00199043	215.144	0.128317777		0.0169291	-12633.7	-0.05031282		0.00199043	1341.66	0.865592681		0.000250008	-0.00330945	0.00330945	0.342345092		0.000240071	310.549	0.181121281
0.00299062	153.111	0.091319596		0.0179305	-17908	-0.071317348		0.00299062	1315.7	0.848844186		0.000500016	-0.0014256	0.0014256	0.147470777		0.000240073	310.547	0.181083143
0.0039908	134.609	0.080284496		0.018932	-19753.4	-0.078666523		0.0039908	1305.47	0.842244144		0.00100003	-0.000854062	0.000854062	0.088348195		0.000490133	304.494	0.065655988
0.00499098	128.312	0.076528793		0.0199334	-20493.8	-0.081615114		0.00499098	1310.75	0.845650617		0.00200003	-0.000573541	0.000573541	0.059329782		0.000490134	304.494	0.065655988
0.00599116	123.562	0.073695762		0.0209347	-20524.3	-0.081736578		0.00599116	1317.17	0.849792579		0.00300003	-0.000407593	0.000407593	0.042163339		0.000990232	302.009	0.018268497
0.00699134	121.473	0.072449826		0.0219361	-20240.3	-0.080605568		0.00699134	1317.51	0.850011936		0.00400003	-0.000302959	0.000302959	0.031339506		0.000990232	302.009	0.018268497
0.00799151	122.382	0.072991978		0.0229374	-19937.7	-0.079400485		0.00799151	1316.87	0.84959903		0.00500003	-0.000251288	0.000251288	0.025994414		0.00199043	301.604	0.010545385
0.00899168	123.501	0.07365938		0.0239387	-20052	-0.079855677		0.00899168	1336.93	0.862541049		0.00600003	-0.000227732	0.000227732	0.02355767		0.00299062	301.319	0.005110603
0.00999185	117.059	0.069817195		0.02494	-20800.6	-0.082836923		0.00999185	1397.06	0.901334847		0.00700003	-0.000214471	0.000214471	0.02218589		0.0039908	301.348	0.005663616
