Column1	Temp noRef	Column1	Temp twoRef	Column1	Temp sixRef		Column1	Mach noRef	Column1	Mach oneRef	Column1	Mach twoRef			Column1	Temp noRef	Column1	Temp oneRef	Column1	Temp twoRef	Column2	Temp threeRef	Column3	temp fourRef	Column4	temp fifthRef	Column6	temp sixthRef
-0.2	138	-0.2	138	-0.2	138		-0.2	5	-0.2	5	-0.2	5			-0.2	138	-0.2	138	-0.2	138	-0.117626	137.995	-0.2	138	-0.2	138	-0.0968843	834.461
-0.197902	138	-0.197902	138	-0.197902	138		-0.197902	5	-0.197902	5	-0.197902	5			-0.197902	138	-0.197902	138	-0.197902	138	-0.125988	138	-0.197902	138	-0.197902	138	-0.0952144	837.264
-0.193131	138	-0.193131	138	-0.193131	138		-0.193131	5	-0.193131	5	-0.193131	5			-0.193131	138	-0.193131	138	-0.193131	138	-0.1273	138.001	-0.193131	138	-0.193131	138	-0.0898939	834.691
-0.182512	138	-0.182512	138	-0.182512	138		-0.182512	5	-0.182512	5	-0.182512	5			-0.182512	138	-0.182512	138	-0.182512	138	-0.127832	138.001	-0.182512	138	-0.182512	138	-0.0884269	835.543
-0.176153	138	-0.176153	138	-0.176153	138		-0.176153	5	-0.176153	5	-0.176153	5			-0.176153	138	-0.176153	138	-0.176153	138	-0.138192	138	-0.176153	138	-0.176153	138	-0.0828378	836.849
-0.169744	138	-0.169744	138	-0.169744	138		-0.169744	4.99998	-0.169744	5	-0.169744	5			-0.169744	138	-0.169744	138	-0.169744	138	-0.141522	138	-0.169744	138	-0.169744	138	-0.0800951	838.076
-0.160669	137.996	-0.160669	138	-0.160669	138		-0.160669	4.99998	-0.160669	5	-0.160669	5			-0.160669	137.996	-0.160669	137.998	-0.160669	138	-0.150403	138	-0.160669	138	-0.160669	138	-0.0762339	839.198
-0.158227	137.998	-0.158227	138	-0.158227	138		-0.158227	5.00019	-0.158227	5	-0.158227	5			-0.158227	137.998	-0.158227	138.001	-0.158227	138	-0.158227	138	-0.158227	138	-0.158227	138	-0.0718772	840.748
-0.150403	138.027	-0.150403	138	-0.150403	138		-0.150403	5.00013	-0.150403	5	-0.150403	5			-0.150403	138.027	-0.150403	138.018	-0.150403	138	-0.160669	138	-0.150403	138	-0.150403	138	-0.0691686	841.858
-0.141522	137.643	-0.141522	137.999	-0.141522	138		-0.141522	5.00835	-0.141522	5.00001	-0.141522	5			-0.141522	137.643	-0.141522	137.853	-0.141522	137.999	-0.169744	138	-0.141522	138	-0.141522	138	-0.0670581	842.477
