time	radiation_intensity	temperature	internal_temperature	albedo_radiation
0	1363.6	-3.87	-6.9	0
0.02	1363.6	-0.57	-7.18	0
0.04	1363.6	23.16	-7.46	13.07
0.06	1363.6	37.29	-7.9	45.36
0.08	1363.6	41.84	-8.5	84.14
0.1	1363.6	46.39	-9.1	126.85
0.12	1363.6	48.61	-10.38	172.06
0.14	1363.6	50.84	-11.66	216.01
0.16	1363.6	52.44	-13.1	257.42
0.18	1363.6	53.43	-14.7	293.61
0.2	1363.6	54.41	-16.3	325.93
0.22	1363.6	54.81	-16.8	353.11
0.24	1363.6	55.22	-17.3	375.08
0.26	1363.6	55.99	-16.2	390.56
0.28	1363.6	57.12	-13.5	402.21
0.3	1363.6	58.25	-10.8	407
0.32	1363.6	60.19	-6.74	404.75
0.34	1363.6	62.14	-2.68	401.85
0.36	1363.6	64.27	1.84	388.84
0.38	1363.6	66.6	6.82	366.56
0.4	1363.6	68.93	11.8	359.64
0.42	1363.6	71.85	17.76	350.5
0.44	1363.6	74.77	23.72	332.39
0.46	1363.6	77.75	29.86	308.6
0.48	1363.6	80.8	36.18	296.44
0.5	1363.6	83.85	42.5	261.12
0.52	1363.6	86.64	48.46	231.41
0.54	1363.6	89.43	54.42	201.69
0.56	1363.6	91.98	60.08	165.51
0.58	1363.6	94.29	65.44	130.71
0.6	0	96.6	70.8	94.5
0.62	0	79.14	72.16	58.29
0.64	0	61.69	73.52	25.98
0.66	0	51.44	73.26	0
0.68	0	48.4	71.38	0
0.7	0	45.36	69.5	0
0.72	0	42.96	65.92	0
0.74	0	40.57	62.34	0
0.76	0	37.87	58.08	0
0.78	0	34.88	53.14	0
0.8	0	31.88	48.2	0
0.82	0	27.98	42	0
0.84	0	24.09	35.8	0
0.86	0	19.71	29.1	0
0.88	0	14.84	21.9	0
0.9	0	14.51	14.7	0
0.92	0	9.98	7.84	0
0.94	0	4.44	0.98	0
0.96	0	2.26	-3.34	0
0.98	0	-1.1	-5.12	0
1	1363.6	-3.87	-6.9	0
1.02	1363.6	26.76	-7.18	0
1.04	1363.6	38.39	-7.46	13.07
1.06	1363.6	42.69	-7.9	45.36
1.08	1363.6	45.46	-8.5	84.14
1.1	1363.6	48.23	-9.1	126.85
1.12	1363.6	49.93	-10.38	172.06
1.14	1363.6	51.64	-11.66	216.01
1.16	1363.6	52.91	-13.1	257.42
1.18	1363.6	53.74	-14.7	293.61
1.2	1363.6	54.57	-16.3	325.93
1.22	1363.6	54.93	-16.8	353.11
1.24	1363.6	55.29	-17.3	375.08
1.26	1363.6	56.03	-16.2	390.56
1.28	1363.6	57.14	-13.5	402.21
1.3	1363.6	58.26	-10.8	407
1.32	1363.6	60.2	-6.74	404.75
1.34	1363.6	62.15	-2.68	401.85
1.36	1363.6	64.28	1.84	388.84
1.38	1363.6	66.61	6.82	366.56
1.4	1363.6	68.93	11.8	359.64
1.42	1363.6	71.85	17.76	350.5
1.44	1363.6	74.77	23.72	332.39
1.46	1363.6	77.75	29.86	308.6
1.48	1363.6	80.8	36.18	296.44
1.5	1363.6	83.85	42.5	284.29
1.52	1363.6	86.64	48.46	261.12
1.54	1363.6	89.43	54.42	231.41
1.56	1363.6	91.98	60.08	201.69
1.58	1363.6	94.29	65.44	165.51
1.6	0	96.6	70.8	130.71
1.62	0	79.14	72.16	94.5
1.64	0	61.69	73.52	58.29
1.66	0	51.44	73.26	25.98
1.68	0	48.4	71.38	0
1.7	0	45.36	69.5	0
1.72	0	42.96	65.92	0
1.74	0	40.57	62.34	0
1.76	0	37.87	58.08	0
1.78	0	34.88	53.14	0
1.8	0	31.88	48.2	0
1.82	0	27.98	42	0
1.84	0	24.09	35.8	0
1.86	0	19.71	29.1	0
1.88	0	14.84	21.9	0
1.9	0	14.51	14.7	0
1.92	0	9.98	7.84	0
1.94	0	4.44	0.98	0
1.96	0	2.26	-3.34	0
1.98	0	-1.1	-5.12	0
2	0	-3.87	-6.9	0
