time	radiation_intensity	temperature	internal_temperature	albedo_radiation
0.00	1363.60	-24.30	-6.90	284.29
0.02	1363.60	-24.00	-7.10	261.12
0.04	1363.60	-23.70	-7.40	231.41
0.06	1363.60	-23.30	-7.80	201.69
0.08	1363.60	-22.50	-8.30	165.51
0.10	1363.60	-21.30	-9.10	130.71
0.12	1363.60	-20.20	-10.20	94.50
0.14	1363.60	-18.50	-11.50	58.29
0.16	1363.60	-16.00	-13.10	25.98
0.18	1363.60	-13.80	-14.80	0.00
0.20	1363.60	-11.20	-16.30	0.00
0.22	1363.60	-8.20	-17.50	0.00
0.24	1363.60	-4.70	-18.20	0.00
0.26	1363.60	-0.60	-16.90	0.00
0.28	1363.60	3.40	-14.20	0.00
0.30	1363.60	7.30	-10.80	0.00
0.32	1363.60	12.20	-7.10	0.00
0.34	1363.60	17.10	-2.90	0.00
0.36	1363.60	21.40	1.60	0.00
0.38	1363.60	27.20	6.40	0.00
0.40	1363.60	32.10	11.80	0.00
0.42	1363.60	38.40	17.50	0.00
0.44	1363.60	43.50	23.60	0.00
0.46	1363.60	50.00	29.80	0.00
0.48	1363.60	55.70	36.10	0.00
0.50	1363.60	62.40	42.50	0.00
0.52	1363.60	68.10	48.70	0.00
0.54	1363.60	74.90	54.60	0.00
0.56	1363.60	81.00	60.20	13.07
0.58	1363.60	87.20	65.90	45.36
0.60	1363.60	91.00	70.80	84.14
0.62	0.00	92.00	74.10	126.85
0.64	0.00	90.50	74.60	172.06
0.66	0.00	88.30	73.80	216.01
0.68	0.00	84.00	72.10	257.42
0.70	0.00	79.30	69.50	293.61
0.72	0.00	72.10	66.20	325.93
0.74	0.00	65.40	62.70	353.11
0.76	0.00	56.50	58.40	375.08
0.78	0.00	48.00	53.50	390.56
0.80	0.00	38.00	48.20	402.21
0.82	0.00	28.80	42.40	407.00
0.84	0.00	18.50	36.10	404.75
0.86	0.00	9.80	29.30	401.85
0.88	0.00	0.00	22.20	388.84
0.90	0.00	-8.40	14.70	366.56
0.92	0.00	-15.50	7.20	359.64
0.94	0.00	-20.80	-0.10	350.50
0.96	0.00	-22.70	-4.80	332.39
0.98	0.00	-24.10	-6.20	308.60
1.00	1363.60	-24.30	-6.90	296.44
1.02	1363.60	-24.10	-7.00	261.12
1.04	1363.60	-23.40	-7.20	231.41
1.06	1363.60	-22.90	-7.60	201.69
1.08	1363.60	-21.70	-8.10	165.51
1.10	1363.60	-20.80	-8.90	130.71
1.12	1363.60	-19.10	-9.80	94.50
1.14	1363.60	-17.60	-10.90	58.29
1.16	1363.60	-15.10	-12.30	25.98
1.18	1363.60	-12.90	-13.60	0.00
1.20	1363.60	-9.60	-14.70	0.00
1.22	1363.60	-6.90	-15.30	0.00
1.24	1363.60	-3.00	-15.50	0.00
1.26	1363.60	0.70	-14.80	0.00
1.28	1363.60	4.50	-13.50	0.00
1.30	1363.60	8.70	-11.70	0.00
1.32	1363.60	13.30	-9.60	0.00
1.34	1363.60	17.60	-6.80	0.00
1.36	1363.60	23.00	-3.50	0.00
1.38	1363.60	27.80	0.20	0.00
1.40	1363.60	34.00	4.30	0.00
1.42	1363.60	39.20	8.80	0.00
1.44	1363.60	45.70	13.60	0.00
1.46	1363.60	51.30	18.80	0.00
1.48	1363.60	58.40	24.50	0.00
1.50	1363.60	64.20	30.60	0.00
1.52	1363.60	71.10	37.30	0.00
1.54	1363.60	76.70	44.20	0.00
1.56	1363.60	83.30	51.10	13.07
1.58	1363.60	88.00	58.00	45.36
1.60	1363.60	91.60	64.70	84.14
1.62	0.00	92.00	70.80	126.85
1.64	0.00	90.30	74.20	172.06
1.66	0.00	86.60	74.60	216.01
1.68	0.00	82.80	73.20	257.42
1.70	0.00	76.70	70.80	293.61
1.72	0.00	70.60	67.40	325.93
1.74	0.00	62.40	63.10	353.11
1.76	0.00	54.60	58.20	375.08
1.78	0.00	44.90	52.60	390.56
1.80	0.00	35.90	46.50	402.21
1.82	0.00	25.60	40.10	407.00
1.84	0.00	16.70	33.60	404.75
1.86	0.00	6.70	26.90	401.85
1.88	0.00	-2.20	20.00	388.84
1.90	0.00	-9.70	12.90	366.56
1.92	0.00	-17.40	5.50	359.64
1.94	0.00	-21.50	-1.60	350.50
1.96	0.00	-23.40	-4.90	332.39
1.98	0.00	-24.20	-6.40	308.60
2.00	0.00	-24.30	-6.90	296.44
