Column1,Temp noRef,Column1,Temp oneRef,Column1,Temp twoRef,,Column1,Mach noRef,Column1,Mach oneRef,Column1,Mach twoRef
-0.2,250,-0.2,250,-0.2,250,,-0.2,5,-0.2,5,-0.2,5
-0.197902,250,-0.197902,250,-0.197902,250,,-0.197902,5,-0.197902,5,-0.197902,5
-0.193131,250,-0.193131,250,-0.193131,250,,-0.193131,5,-0.193131,5,-0.193131,5
-0.182512,250,-0.182512,250,-0.182512,250,,-0.182512,5,-0.182512,5,-0.182512,5
-0.176153,250,-0.176153,250,-0.176153,250,,-0.176153,5,-0.176153,5,-0.176153,5
-0.169744,250.002,-0.169744,250,-0.169744,250,,-0.169744,4.99998,-0.169744,5,-0.169744,5
-0.160669,250.002,-0.160669,249.996,-0.160669,250,,-0.160669,4.99998,-0.160669,5.00005,-0.160669,5
-0.158227,249.985,-0.158227,250.001,-0.158227,250,,-0.158227,5.00019,-0.158227,4.99999,-0.158227,5
-0.150403,249.989,-0.150403,250.032,-0.150403,250,,-0.150403,5.00013,-0.150403,4.99962,-0.150403,5
-0.141522,249.307,-0.141522,249.748,-0.141522,249.999,,-0.141522,5.00835,-0.141522,5.00303,-0.141522,5.00002
-0.138192,249.321,-0.138192,249.596,-0.138192,249.998,,-0.138192,5.00821,-0.138192,5.00488,-0.138192,5.00003
-0.127832,267.474,-0.127832,253.523,-0.127832,250.033,,-0.127832,4.81486,-0.127832,4.95946,-0.127832,4.99961
-0.1273,269.636,-0.1273,253.743,-0.1273,250.035,,-0.1273,4.79427,-0.1273,4.95692,-0.1273,4.99959
-0.125988,307.218,-0.125988,263.709,-0.125988,249.966,,-0.125988,4.58715,-0.125988,4.86461,-0.125988,5.00041
-0.117626,533.146,-0.117626,319.367,-0.117626,249.59,,-0.117626,3.30968,-0.117626,4.34338,-0.117626,5.00492
-0.114335,783.155,-0.114335,583.258,-0.117626,249.59,,-0.114335,2.46261,-0.114335,3.29528,-0.117626,5.00492
-0.110012,1141.1,-0.114335,583.258,-0.114335,250.706,,-0.110012,1.27024,-0.114335,3.29528,-0.114335,4.99176
-0.104973,1370.68,-0.113699,637.143,-0.113699,250.807,,-0.104973,0.664213,-0.113699,3.08448,-0.113699,4.99057
-0.103096,1450.38,-0.112604,736.464,-0.112604,260.113,,-0.103096,0.45199,-0.112604,2.68585,-0.112604,4.89345
-0.100947,1455.28,-0.110012,965.942,-0.112604,260.113,,-0.100947,0.433179,-0.110012,1.77302,-0.112604,4.89345
-0.0968843,1466.46,-0.108314,1083.15,-0.111855,280.017,,-0.0968843,0.389562,-0.108314,1.44549,-0.111855,4.75551
-0.0952144,1468.14,-0.106672,1191.07,-0.11142,282.604,,-0.0952144,0.381511,-0.106672,1.1586,-0.11142,4.69637
-0.0898939,1470.99,-0.104973,1313.93,-0.110012,309.365,,-0.0898939,0.36865,-0.104973,0.800571,-0.110012,4.46187
-0.0884269,1471.89,-0.104973,1313.93,-0.10837,519.822,,-0.0884269,0.363997,-0.104973,0.800571,-0.10837,3.30824
-0.0828378,1475.47,-0.103096,1432.74,-0.108342,524.792,,-0.0828378,0.346657,-0.103096,0.453069,-0.108342,3.28635
-0.0800951,1476.7,-0.100947,1440.63,-0.108314,531.037,,-0.0800951,0.340462,-0.100947,0.418377,-0.108314,3.26393
-0.0762339,1479,-0.0968843,1455.75,-0.106672,1016.01,,-0.0762339,0.328935,-0.0968843,0.353425,-0.106672,1.59087
-0.0718772,1481.13,-0.0952144,1457.56,-0.106672,1016.01,,-0.0718772,0.31733,-0.0952144,0.344373,-0.106672,1.59087
-0.0691686,1482.27,-0.0898939,1462,-0.104973,1232.64,,-0.0691686,0.311433,-0.0898939,0.319813,-0.104973,1.02519
-0.0670581,1483.34,-0.0884269,1463.3,-0.103096,1444.44,,-0.0670581,0.305364,-0.0884269,0.312672,-0.103096,0.476422
-0.0651788,1484.36,-0.0828378,1466.81,-0.103096,1444.44,,-0.0651788,0.299668,-0.0828378,0.291465,-0.103096,0.476422
-0.0615258,1486.2,-0.0800951,1469.37,-0.100947,1453.16,,-0.0615258,0.288983,-0.0800951,0.275809,-0.100947,0.441254
-0.060984,1486.49,-0.0762339,1471.73,-0.0968843,1476.42,,-0.060984,0.287282,-0.0762339,0.260179,-0.0968843,0.355744
-0.0547805,1489.74,-0.0718772,1474.86,-0.0952144,1478.33,,-0.0547805,0.267356,-0.0718772,0.238074,-0.0952144,0.346957
-0.0546459,1489.81,-0.0691686,1476.9,-0.0898939,1482.53,,-0.0546459,0.266925,-0.0691686,0.223022,-0.0898939,0.323537
-0.0514555,1491.57,-0.0670581,1478.11,-0.0884269,1483.68,,-0.0514555,0.255342,-0.0670581,0.213143,-0.0884269,0.317163
-0.0483049,1493.17,-0.0651788,1479.06,-0.0828378,1487.4,,-0.0483049,0.244709,-0.0651788,0.205271,-0.0828378,0.296357
-0.0481568,1493.25,-0.0615258,1481,-0.0800951,1489.3,,-0.0481568,0.244172,-0.0615258,0.187792,-0.0800951,0.283126
-0.0479599,1493.34,-0.060984,1481.25,-0.0762339,1491.64,,-0.0479599,0.243468,-0.060984,0.185415,-0.0762339,0.26836
-0.0441777,1495.43,-0.0547805,1483.94,-0.0718772,1494.24,,-0.0441777,0.228628,-0.0547805,0.158128,-0.0718772,0.24919
-0.0418529,1496.64,-0.0546459,1483.99,-0.0691686,1495.73,,-0.0418529,0.219776,-0.0546459,0.157527,-0.0691686,0.2372
-0.0404733,1497.33,-0.0514555,1484.98,-0.0670581,1496.84,,-0.0404733,0.214333,-0.0514555,0.14593,-0.0670581,0.228446
-0.0389273,1498.08,-0.0483049,1486.09,-0.0651788,1497.73,,-0.0389273,0.208264,-0.0483049,0.131958,-0.0651788,0.221281
-0.0367871,1499.24,-0.0481568,1486.14,-0.0615258,1499.54,,-0.0367871,0.199139,-0.0481568,0.131407,-0.0615258,0.205963
-0.0354551,1499.94,-0.0479599,1486.19,-0.060984,1499.79,,-0.0354551,0.193398,-0.0479599,0.130583,-0.060984,0.203819
-0.034149,1500.57,-0.0441777,1487.12,-0.0547805,1502.49,,-0.034149,0.187726,-0.0441777,0.117279,-0.0547805,0.179025
-0.0319749,1501.65,-0.0418529,1487.71,-0.0546459,1502.54,,-0.0319749,0.178002,-0.0418529,0.107953,-0.0546459,0.178481
-0.0307874,1502.27,-0.0404733,1488.01,-0.0514555,1503.7,,-0.0307874,0.172551,-0.0404733,0.103175,-0.0514555,0.166954
-0.0304397,1502.46,-0.0389273,1488.34,-0.0483049,1504.87,,-0.0304397,0.170833,-0.0389273,0.0972007,-0.0483049,0.154087
-0.0287646,1503.28,-0.0367871,1488.72,-0.0481568,1504.92,,-0.0287646,0.162967,-0.0367871,0.0901073,-0.0481568,0.153554
-0.0281653,1503.61,-0.0354551,1488.96,-0.0479599,1504.98,,-0.0281653,0.159882,-0.0354551,0.0851389,-0.0479599,0.15278
-0.0267113,1504.27,-0.034149,1489.16,-0.0441777,1506.13,,-0.0267113,0.152931,-0.034149,0.0810282,-0.0441777,0.139375
-0.0254526,1504.89,-0.0319749,1489.47,-0.0418529,1506.84,,-0.0254526,0.146356,-0.0319749,0.0736384,-0.0418529,0.130219
-0.0235753,1505.67,-0.0307874,1489.63,-0.0404733,1507.21,,-0.0235753,0.137403,-0.0307874,0.0699008,-0.0404733,0.125432
-0.0218804,1506.43,-0.0304397,1489.68,-0.0389273,1507.62,,-0.0218804,0.128367,-0.0304397,0.0687608,-0.0389273,0.119559
-0.0205565,1506.92,-0.0287646,1489.89,-0.0367871,1508.15,,-0.0205565,0.122094,-0.0287646,0.0635542,-0.0367871,0.112061
-0.0186062,1507.72,-0.0281653,1489.97,-0.0354551,1508.48,,-0.0186062,0.111534,-0.0281653,0.0617323,-0.0354551,0.106976
-0.0182715,1507.84,-0.0267113,1490.13,-0.034149,1508.75,,-0.0182715,0.10992,-0.0267113,0.0574375,-0.034149,0.102757
-0.0169975,1508.29,-0.0254526,1490.26,-0.0319749,1509.2,,-0.0169975,0.103359,-0.0254526,0.05399,-0.0319749,0.0949306
-0.0163912,1508.49,-0.0235753,1490.44,-0.0307874,1509.45,,-0.0163912,0.100484,-0.0235753,0.0490745,-0.0307874,0.0908941
-0.0151869,1508.89,-0.0218804,1490.58,-0.0304397,1509.52,,-0.0151869,0.0943338,-0.0218804,0.0449411,-0.0304397,0.0896138
-0.0143822,1509.13,-0.0205565,1490.68,-0.0287646,1509.83,,-0.0143822,0.0905089,-0.0205565,0.0417185,-0.0287646,0.0840818
-0.0134151,1509.42,-0.0186062,1490.85,-0.0281653,1509.94,,-0.0134151,0.0857038,-0.0186062,0.0371421,-0.0281653,0.0820187
-0.0119231,1509.8,-0.0182715,1490.87,-0.0267113,1510.17,,-0.0119231,0.0789015,-0.0182715,0.0363281,-0.0267113,0.0775571
-0.011645,1509.88,-0.0169975,1490.97,-0.0254526,1510.37,,-0.011645,0.077554,-0.0169975,0.0333241,-0.0254526,0.0733977
-0.0109371,1510.03,-0.0163912,1491.02,-0.0235753,1510.62,,-0.0109371,0.074535,-0.0163912,0.0318171,-0.0235753,0.0679028
-0.0098362,1510.26,-0.0151869,1491.13,-0.0218804,1510.85,,-0.0098362,0.0701873,-0.0151869,0.0288309,-0.0218804,0.0626376
-0.00909693,1510.39,-0.0143822,1491.21,-0.0205565,1511,,-0.00909693,0.0678215,-0.0143822,0.0269008,-0.0205565,0.0590535
-0.00810871,1510.56,-0.0134151,1491.28,-0.0186062,1511.23,,-0.00810871,0.0644634,-0.0134151,0.0246749,-0.0186062,0.0532937
-0.00684062,1510.75,-0.0119231,1491.41,-0.0182715,1511.27,,-0.00684062,0.0614435,-0.0119231,0.0211425,-0.0182715,0.0524215
-0.00643129,1510.81,-0.011645,1491.44,-0.0169975,1511.39,,-0.00643129,0.0606023,-0.011645,0.0204779,-0.0169975,0.0491977
-0.00627763,1510.84,-0.0109371,1491.49,-0.0163912,1511.45,,-0.00627763,0.0604362,-0.0109371,0.0186929,-0.0163912,0.0478374
-0.0050173,1511.09,-0.0098362,1491.58,-0.0151869,1511.55,,-0.0050173,0.0588211,-0.0098362,0.0159367,-0.0151869,0.0450334
-0.00473872,1511.13,-0.00909693,1491.6,-0.0143822,1511.61,,-0.00473872,0.0586293,-0.00909693,0.0138261,-0.0143822,0.0434682
-0.00446328,1511.17,-0.00810871,1491.61,-0.0134151,1511.67,,-0.00446328,0.0585531,-0.00810871,0.0109556,-0.0134151,0.0414961
-0.00419094,1511.2,-0.00684062,1493.26,-0.0119231,1511.76,,-0.00419094,0.0585849,-0.00684062,0.00704438,-0.0119231,0.0391801
-0.00392167,1511.24,-0.00643129,1493.62,-0.011645,1511.77,,-0.00392167,0.0587278,-0.00643129,0.00574998,-0.011645,0.0387071
-0.00365542,1511.26,-0.00627763,1494.88,-0.0109371,1511.81,,-0.00365542,0.0589765,-0.00627763,0.00546841,-0.0109371,0.0379554
-0.00339215,1511.27,-0.0050173,1517,-0.0098362,1511.85,,-0.00339215,0.05932,-0.0050173,0.00390608,-0.0098362,0.0369005
-0.00313183,1511.27,-0.00473872,1526.11,-0.00909693,1511.88,,-0.00313183,0.0597455,-0.00473872,0.00344579,-0.00909693,0.0367026
-0.00287442,1511.25,-0.00446328,1532.68,-0.00810871,1511.91,,-0.00287442,0.0602401,-0.00446328,0.00349899,-0.00810871,0.0363384
-0.00261989,1511.23,-0.00419094,1536.57,-0.00684062,1511.94,,-0.00261989,0.0607917,-0.00419094,0.00479844,-0.00684062,0.0368686
-0.0023682,1511.21,-0.00392167,1539.57,-0.00643129,1511.94,,-0.0023682,0.0613942,-0.00392167,0.00699432,-0.00643129,0.0370698
-0.00211932,1511.2,-0.00365542,1541.99,-0.00627763,1511.95,,-0.00211932,0.0620465,-0.00365542,0.00970758,-0.00627763,0.0372358
-0.0018732,1511.22,-0.00339215,1544.03,-0.0050173,1511.97,,-0.0018732,0.0627497,-0.00339215,0.0128757,-0.0050173,0.0386742
-0.00162982,1511.27,-0.00313183,1545.8,-0.00473872,1511.97,,-0.00162982,0.0635096,-0.00313183,0.016442,-0.00473872,0.0390912
-0.00138914,1511.37,-0.00287442,1547.35,-0.00446328,1511.97,,-0.00138914,0.0643386,-0.00287442,0.0203412,-0.00446328,0.0395451
