time(s)	orbit_num	normalized_time	surface_temp(C)	back_temp(C)	heat_flux(W/m2)	temp_at_0.0mm(C)	temp_at_0.0mm(C)	temp_at_5.0mm(C)	temp_at_11.5mm(C)	temp_at_11.5mm(C)
0.00	1	0.0000	-24.30	-6.90	1363.60	-24.30	-24.30	-24.30	-6.90	-6.90
277.50	1	0.0500	35.02	-7.60	1392.81	35.02	35.02	8.41	-7.60	-7.60
555.00	1	0.1000	46.39	-9.10	1490.45	46.39	46.39	18.95	-9.10	-9.10
832.50	1	0.1500	51.95	-12.30	1600.31	51.95	51.95	22.45	-12.30	-12.30
1110.00	1	0.2000	54.41	-16.30	1689.53	54.41	54.41	22.89	-16.30	-16.30
1387.50	1	0.2500	55.42	-17.55	1746.42	55.42	55.42	22.52	-17.55	-17.55
1665.00	1	0.3000	58.25	-10.80	1770.60	58.25	58.25	25.21	-10.80	-10.80
1942.50	1	0.3500	63.11	-0.65	1758.94	63.11	63.11	31.37	-0.65	-0.65
2220.00	1	0.4000	68.93	11.80	1723.24	68.93	68.93	39.39	11.80	11.80
2497.50	1	0.4500	76.23	26.70	1684.09	76.23	76.23	49.39	26.70	26.70
2775.00	1	0.5000	83.85	42.50	1624.72	83.85	83.85	60.46	42.50	42.50
3052.50	1	0.5500	90.82	57.40	1547.20	90.82	90.82	71.34	57.40	57.40
3330.00	1	0.6000	96.60	70.80	1458.10	96.60	96.60	81.12	70.80	70.80
3607.50	1	0.6500	52.96	74.20	12.99	52.96	52.96	67.73	74.20	74.20
3885.00	1	0.7000	45.36	69.50	0.00	45.36	45.36	59.13	69.50	69.50
4162.50	1	0.7500	39.37	60.55	0.00	39.37	39.37	52.14	60.55	60.55
4440.00	1	0.8000	31.88	48.20	0.00	31.88	31.88	43.47	48.20	48.20
4717.50	1	0.8500	22.14	32.70	0.00	22.14	22.14	32.31	32.70	32.70
4995.00	1	0.9000	9.98	14.70	0.00	9.98	9.98	18.57	14.70	14.70
5272.50	1	0.9500	-3.87	-2.45	0.00	-3.87	-3.87	3.16	-2.45	-2.45
5550.00	2	0.0000	26.76	-6.90	1363.60	26.76	26.76	-0.25	-6.90	-6.90
5827.50	2	0.0500	41.30	-7.60	1392.81	41.30	41.30	15.70	-7.60	-7.60
6105.00	2	0.1000	48.23	-9.10	1490.45	48.23	48.23	21.11	-9.10	-9.10
6382.50	2	0.1500	52.49	-12.30	1600.31	52.49	52.49	23.09	-12.30	-12.30
6660.00	2	0.2000	54.57	-16.30	1689.53	54.57	54.57	23.08	-16.30	-16.30
6937.50	2	0.2500	55.47	-17.55	1746.42	55.47	55.47	22.57	-17.55	-17.55
7215.00	2	0.3000	58.26	-10.80	1770.60	58.26	58.26	25.23	-10.80	-10.80
7492.50	2	0.3500	63.12	-0.65	1758.94	63.12	63.12	31.38	-0.65	-0.65
7770.00	2	0.4000	68.93	11.80	1723.24	68.93	68.93	39.39	11.80	11.80
8047.50	2	0.4500	76.23	26.70	1684.09	76.23	76.23	49.39	26.70	26.70
8325.00	2	0.5000	83.85	42.50	1624.72	83.85	83.85	60.46	42.50	42.50
8602.50	2	0.5500	90.82	57.40	1547.20	90.82	90.82	71.34	57.40	57.40
8880.00	2	0.6000	96.60	70.80	1458.10	96.60	96.60	81.12	70.80	70.80
9157.50	2	0.6500	52.96	74.20	12.99	52.96	52.96	67.73	74.20	74.20
9435.00	2	0.7000	45.36	69.50	0.00	45.36	45.36	59.13	69.50	69.50
9712.50	2	0.7500	39.37	60.55	0.00	39.37	39.37	52.14	60.55	60.55
9990.00	2	0.8000	31.88	48.20	0.00	31.88	31.88	43.47	48.20	48.20
10267.50	2	0.8500	22.14	32.70	0.00	22.14	22.14	32.31	32.70	32.70
10545.00	2	0.9000	9.98	14.70	0.00	9.98	9.98	18.57	14.70	14.70
10822.50	2	0.9500	-3.87	-2.45	0.00	-3.87	-3.87	3.16	-2.45	-2.45
11100.00	3	0.0000	26.76	-6.90	1363.60	26.76	26.76	-0.25	-6.90	-6.90
